Industry,Identifier
diagnostics-research,1
aluminum,2
rental-leasing-services,3
reit-diversified,4
asset-management,5
drug-manufacturers-general,6
specialty-business-services,7
reit-mortgage,8
medical-devices,9
grocery-stores,10
engineering-construction,11
information-technology-services,12
insurance-specialty,13
reit-retail,14
farm-products,15
security-protection-services,16
utilities-regulated-electric,17
insurance-diversified,18
insurance-life,19
gold,20
apparel-retail,21
utilities-diversified,22
insurance-property-casualty,23
silver,24
farm-heavy-construction-machinery,25
credit-services,26
software-application,27
textile-manufacturing,28
aerospace-defense,29
industrial-distribution,30
reit-residential,31
insurance-brokers,32
specialty-chemicals,33
airlines,34
auto-parts,35
oil-gas-midstream,36
semiconductors,37
specialty-industrial-machinery,38
reit-specialty,39
telecom-services,40
auto-truck-dealerships,41
oil-gas-e-p,42
electronic-components,43
reit-office,44
real-estate-development,45
electronics-computer-distribution,46
marine-shipping,47
airports-air-services,48
metal-fabrication,49
utilities-regulated-gas,50
medical-instruments-supplies,51
agricultural-inputs,52
packaging-containers,53
building-products-equipment,54
utilities-regulated-water,55
electrical-equipment-parts,56
specialty-retail,57
building-materials,58
banks-regional,59
banks-diversified,60
communication-equipment,61
biotechnology,62
utilities-renewable,63
personal-services,64
capital-markets,65
packaged-foods,66
restaurants,67
other-industrial-metals-mining,68
medical-care-facilities,69
scientific-technical-instruments,70
oil-gas-integrated,71
thermal-coal,72
beverages-brewers,73
other-precious-metals-mining,74
resorts-casinos,75
staffing-employment-services,76
residential-construction,77
medical-distribution,78
internet-content-information,79
uranium,80
travel-services,81
advertising-agencies,82
EQUITY,83
chemicals,84
household-personal-products,85
lodging,86
healthcare-plans,87
oil-gas-equipment-services,88
reit-hotel-motel,89
steel,90
waste-management,91
paper-paper-products,92
computer-hardware,93
railroads,94
entertainment,95
conglomerates,96
reit-industrial,97
leisure,98
oil-gas-refining-marketing,99
department-stores,100
beverages-wineries-distilleries,101
discount-stores,102
financial-data-stock-exchanges,103
oil-gas-drilling,104
reit-healthcare-facilities,105
software-infrastructure,106
semiconductor-equipment-materials,107
business-equipment-supplies,108
education-training-services,109
consulting-services,110
auto-manufacturers,111
copper,112
integrated-freight-logistics,113
pollution-treatment-controls,114
publishing,115
mortgage-finance,116
apparel-manufacturing,117
broadcasting,118
coking-coal,119
home-improvement-retail,120
recreational-vehicles,121
confectioners,122
gambling,123
real-estate-services,124
solar,125
real-estate-diversified,126
tools-accessories,127
trucking,128
beverages-non-alcoholic,129
furnishings-fixtures-appliances,130
consumer-electronics,131
tobacco,132
luxury-goods,133
footwear-accessories,134
utilities-independent-power-producers,135
drug-manufacturers-specialty-generic,136
insurance-reinsurance,137
internet-retail,138
lumber-wood-production,139
food-distribution,140
electronic-gaming-multimedia,141
health-information-services,142
financial-conglomerates,143
